national_team_id,name,team_code,country_id,country_name,country_code,confederation,team_image_url,squad_size,average_age,foreigners_number,foreigners_percentage,total_market_value,coach_name,fifa_ranking,last_season,url,inverse_fifa,norm_fifa,norm_value,team_rating
10521,San Marino,san-marino,144,San Marino,SMR1,UEFA,https://tmssl.akamaized.net//images/flagge/head/144.png?lm=1520611569,24,24.9,17,70.8,995000,,211,2025,https://www.transfermarkt.co.uk/san-marino/startseite/verein/10521,1,0.0,0.0,0.0
10533,Andorra,andorra,5,Andorra,AND2,UEFA,https://tmssl.akamaized.net//images/flagge/head/5.png?lm=1520611569,26,29.2,11,42.3,3380000,,173,2025,https://www.transfermarkt.co.uk/andorra/startseite/verein/10533,39,0.18095238095238095,0.0015701067475090602,0.07332301642945782
11953,Montenegro,montenegro,216,Montenegro,MNE1,UEFA,https://tmssl.akamaized.net//images/flagge/head/216.png?lm=1520611569,26,28.3,24,92.3,60130001,,81,2025,https://www.transfermarkt.co.uk/montenegro/startseite/verein/11953,131,0.6190476190476191,0.03893008976270651,0.27097710147667153
13342,Guatemala,guatemala,58,Guatemala,GU1A,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/58.png?lm=1520611569,21,25.2,6,28.6,5330000,,96,2025,https://www.transfermarkt.co.uk/guatemala/startseite/verein/13342,116,0.5476190476190477,0.0028538418240887952,0.22075992414207235
13497,Uganda,uganda,176,Uganda,UGL1,CAF,https://tmssl.akamaized.net//images/flagge/head/176.png?lm=1520611569,28,28.0,23,82.1,8700000,,88,2025,https://www.transfermarkt.co.uk/uganda/startseite/verein/13497,124,0.5857142857142857,0.005072399366690695,0.23732915390572873
13941,Ethiopia,ethiopia,11,Ethiopia,ETP1,CAF,https://tmssl.akamaized.net//images/flagge/head/11.png?lm=1520611569,23,27.5,2,8.7,2780000,,144,2025,https://www.transfermarkt.co.uk/ethiopia/startseite/verein/13941,68,0.3190476190476191,0.0011751113393306803,0.12832411442264605
13951,El Salvador,el-salvador,45,El Salvador,SL1A,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/45.png?lm=1520611569,20,24.9,4,20.0,3930000,,100,2025,https://www.transfermarkt.co.uk/el-salvador/startseite/verein/13951,112,0.5285714285714287,0.0019321858716725756,0.21258788295157505
13955,Fiji,fiji,48,Fiji,FIJ1,OFC,https://tmssl.akamaized.net//images/flagge/head/48.png?lm=1520611569,26,28.2,3,11.5,2450000,,154,2025,https://www.transfermarkt.co.uk/fiji/startseite/verein/13955,58,0.27142857142857146,0.0009578638648325713,0.10914614689032814
13957,India,india,67,India,IND1,AFC,https://tmssl.akamaized.net//images/flagge/head/67.png?lm=1520611569,23,28.7,0,,4800000,,136,2025,https://www.transfermarkt.co.uk/india/startseite/verein/13957,76,0.3571428571428572,0.0025049292135312265,0.14436010038526162
13958,Indonesia,indonesia,68,Indonesia,IN1L,AFC,https://tmssl.akamaized.net//images/flagge/head/68.png?lm=1520611569,23,26.4,13,56.5,30680000,,122,2025,https://www.transfermarkt.co.uk/indonesia/startseite/verein/13958,90,0.42380952380952386,0.01954239781962535,0.18124924821558475
13975,Tajikistan,tajikistan,165,Tajikistan,TAD1,AFC,https://tmssl.akamaized.net//images/flagge/head/165.png?lm=1520611569,25,25.8,9,36.0,7780000,,103,2025,https://www.transfermarkt.co.uk/tajikistan/startseite/verein/13975,109,0.5142857142857143,0.004466739740817179,0.20839432955877604
14162,Qatar,qatar,137,Qatar,QSL,AFC,https://tmssl.akamaized.net//images/flagge/head/137.png?lm=1520611569,25,27.9,1,4.0,18299999,,55,2025,https://www.transfermarkt.co.uk/qatar/startseite/verein/14162,157,0.742857142857143,0.011392325239219096,0.30397825228638864
14165,Oman,oman,126,Oman,OM1L,AFC,https://tmssl.akamaized.net//images/flagge/head/126.png?lm=1520611569,22,28.5,3,13.6,6100000,,79,2025,https://www.transfermarkt.co.uk/oman/startseite/verein/14165,133,0.6285714285714287,0.0033607525979177165,0.25344502298732213
15033,Bangladesh,bangladesh,16,Bangladesh,BGD1,AFC,https://tmssl.akamaized.net//images/flagge/head/16.png?lm=1520611569,23,25.8,5,21.7,7740000,,181,2025,https://www.transfermarkt.co.uk/bangladesh/startseite/verein/15033,31,0.14285714285714285,0.004440406713605288,0.05980710117102031
15232,Dominican Republic,dominican-republic,43,Dominican Republic,DO1P,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/43.png?lm=1520611569,23,24.3,19,82.6,18030001,,143,2025,https://www.transfermarkt.co.uk/dominican-republic/startseite/verein/15232,69,0.3238095238095239,0.011214578622190184,0.1362525566971237
15234,Philippines,philippines,134,Philippines,PFL1,AFC,https://tmssl.akamaized.net//images/flagge/head/134.png?lm=1520611569,23,27.8,21,91.3,6180000,,135,2025,https://www.transfermarkt.co.uk/philippines/startseite/verein/15234,77,0.36190476190476195,0.0034134186523415004,0.14680995595330967
